127.0.0.1 - - [09/Mar/2023:02:46:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:13 +0700] "GET /vemaybay/ HTTP/1.1" 200 4117
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:13 +0700] "GET /vemaybay/CSS/main1.css HTTP/1.1" 200 12021
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:15 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:15 +0700] "GET /vemaybay/login.jsp HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:27 +0700] "POST /vemaybay/logincontrol HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:27 +0700] "GET /vemaybay/index.jsp HTTP/1.1" 200 15657
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:31 +0700] "GET /vemaybay/CSS/detail.css HTTP/1.1" 200 17704
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:31 +0700] "GET /vemaybay/Searchcontrol?ngaydi= HTTP/1.1" 200 28767
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:31 +0700] "GET /vemaybay/CSS/footercss.css HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:46:47 +0700] "GET /vemaybay/Searchcontrol?sbdi=SGN&ngaydi=2022-08-10&sbden=SGN HTTP/1.1" 200 28879
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:47:06 +0700] "GET /vemaybay/sendmailcontrol HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:47:56 +0700] "GET /vemaybay/sendmailcontrol HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:48:01 +0700] "GET /sendmailcontrol HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:20 +0700] "GET /vemaybay/ima/VNA_logo_notext.png HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:20 +0700] "GET /vemaybay/Searchcontrol?sbdi=SGN&ngaydi=2022-08-22&sbden=HAN HTTP/1.1" 200 199104
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:20 +0700] "GET /vemaybay/ima/Pacific%20Airlines.png HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:20 +0700] "GET /vemaybay/ima/bamboo_airway.png HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:20 +0700] "GET /vemaybay/ima/VietjetAir_transpng.png HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:21 +0700] "GET /vemaybay/datvecontrol?pid=1 HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:21 +0700] "GET /vemaybay/assets/font/fontawesome-free-6.1.1-web/css/all.min.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:21 +0700] "GET /vemaybay/CSS/main.css HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:21 +0700] "GET /vemaybay/JS/grid.js HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:21 +0700] "GET /vemaybay/CSS/base.css HTTP/1.1" 200 8748
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:37 +0700] "GET /vemaybay/dangxuatcontrol HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:37 +0700] "GET /vemaybay/index.jsp HTTP/1.1" 200 4117
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:38 +0700] "GET /vemaybay/dangky.jsp HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:39 +0700] "GET /vemaybay/CSS/dangky.css HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [09/Mar/2023:02:49:58 +0700] "POST /vemaybay/dangkycontrol HTTP/1.1" 500 2271
